name
chronic obstructive pulmonary disease
COPD
emphysema
obstructive lung disease
chronic bronchitis
pulmonary obstructive airflow
Chronic obstructive airways disease
Chronic obstructive respiratory disease
Chronic airflow limitation
Bronchitis-chronic obstructive
COPD with emphysema
Chronic obstructive bronchitis
Chronic bronchopulmonary disease
Chronic obstructive pulmonary disorder
Chronic obstructive lung disorder
Chronic obstructive respiratory disorder
